주요재무정보,2018.12,2019.12,2020.12,2021.12(E),2020.03,2020.06,2020.09,2020.12,2021.03,2021.06(E)
매출액,"2,437,714","2,304,009","2,368,070","2,721,010","553,252","529,661","669,642","615,515","653,885","612,813"
영업이익,"588,867","277,685","359,939","517,816","64,473","81,463","123,532","90,470","93,829","109,741"
당기순이익,"443,449","217,389","264,078","390,859","48,849","55,551","93,607","66,071","71,417","84,950"
영업이익률,24.16,12.05,15.20,19.03,11.65,15.38,18.45,14.70,14.35,17.91
순이익률,18.19,9.44,11.15,14.36,8.83,10.49,13.98,10.73,10.92,13.86
ROE(지배주주),19.63,8.69,9.98,13.95,8.45,8.49,9.51,9.98,10.79,
부채비율,36.97,34.12,37.07,,34.19,32.67,36.09,37.07,43.23,
당좌비율,204.12,233.57,214.82,,237.80,250.04,229.69,214.82,192.26,
유보율,"27,531.92","28,856.02","30,692.79",,"29,134.12","29,477.97","30,242.29","30,692.79","30,135.47",
EPS(원),"6,024","3,166","3,841","5,692",720,808,"1,364",949,"1,044","1,205"
PER(배),6.42,17.63,21.09,14.02,15.24,16.52,15.89,21.09,19.54,66.37
BPS(원),"35,342","37,528","39,406","42,180","38,053","38,534","39,446","39,406","39,126",
PBR(배),1.09,1.49,2.06,1.89,1.25,1.37,1.48,2.06,2.08,
주당배당금(원),"1,416","1,416","2,994","1,755",,,,,,
시가배당률(%),3.66,2.54,3.70,,,,,,,
배당성향(%),21.92,44.73,77.95,,,,,,,
